repair_id,garage_id,user_id,calculated_distance_km,distance_score,is_nearby,is_very_close,specialization_match_score,historical_satisfaction_rate,total_repairs,avg_historical_cost,avg_completion_time,cost_reliability,time_reliability,overall_preference_score,distance_preference_match,price_preference_match,rating_preference_match,availability_score,current_utilization,avg_hourly_rate,price_competitiveness,cost_accuracy,avg_rating,num_reviews,years_in_business,certified,user_satisfied,satisfaction_score,would_recommend,final_cost,completion_days
REP0011,GAR098,USER389,15.054260223115724,0.06228876236602606,0,0,0.8,0.875,8,114395.5,6.125,0.1201024666257924,0.19661328300274997,0.3333333333333333,0,0,1,0.16666666666666666,0.8333333333333334,2373,1.4511167298777918,0.8382688452054479,4.53,49,11,1,1,0.672,0,181875,12
REP0012,GAR052,USER115,1.5468068155970307,0.3926485487143542,1,1,1.0,0.9285714285714286,14,167016.42857142858,5.5,0.05306258465322932,0.18118601220870661,1.0,1,1,1,1.0,0.0,3774,0.9124271330153683,0.8351275381324504,4.22,97,7,1,1,0.815,1,433477,5
REP0013,GAR097,USER230,8.516128463497354,0.10508475204342517,0,0,1.0,0.5789473684210527,19,92268.05263157895,3.9473684210526314,0.07960583351808798,0.246084051089216,0.6666666666666666,1,0,1,0.25,0.75,2761,1.2471930459978269,0.8453436263125184,4.22,47,22,1,1,0.77,1,25843,1
REP0014,GAR001,USER136,12.360241359651043,0.074848947191933,0,0,0.8,0.8823529411764706,17,181226.0,6.0588235294117645,0.05935785247835504,0.1949229257368785,0.6666666666666666,0,1,1,0.0,1.0,3824,0.9004968619246861,0.8542382737458594,4.14,32,3,1,1,0.527,0,82264,4
REP0015,GAR041,USER354,4.424450480791957,0.1843504708064,1,0,0.8,0.7692307692307693,13,108443.92307692308,5.461538461538462,0.09462280967985631,0.23638069205339082,0.3333333333333333,1,0,0,1.0,0.0,3752,0.9177771855010661,0.8283762789200386,3.86,15,14,1,0,0.627,1,83709,6
REP0016,GAR007,USER238,19.016575531810357,0.049958595485566415,0,0,1.0,0.6666666666666666,12,71147.91666666667,4.75,0.11922544607585,0.2152253299176548,0.0,0,0,0,1.0,0.0,1769,1.9465799886941775,0.8423430750600951,3.8,24,5,1,1,0.709,1,46606,5
REP0017,GAR058,USER255,14.513498174467463,0.06445999404865546,0,0,0.3,0.7142857142857143,7,56460.857142857145,5.285714285714286,0.31676395008011377,0.3360161941392271,0.3333333333333333,0,0,1,0.8571428571428571,0.14285714285714285,2112,1.6304450757575757,0.8720468446531582,4.03,39,30,0,1,0.541,0,77822,6
REP0018,GAR090,USER280,19.24059147372546,0.049405670842085386,0,0,0.3,0.6666666666666666,18,86607.94444444444,5.833333333333333,0.11819107633054592,0.21967724918778211,0.0,0,0,0,0.75,0.25,1956,1.760480572597137,0.7593272572290342,3.92,23,29,1,0,0.596,0,75686,6
REP0019,GAR005,USER109,9.14149487685941,0.09860479269991775,0,0,0.3,0.7142857142857143,14,86636.92857142857,5.0,0.1266465705408723,0.34709207640227174,0.6666666666666666,1,1,0,0.25,0.75,2925,1.1772649572649572,0.7546636631099639,3.95,28,30,1,0,0.657,0,310689,8
REP0020,GAR017,USER167,17.763479667922976,0.05329501871177688,0,0,0.3,1.0,6,60802.666666666664,2.3333333333333335,0.19080687851812214,0.3991147148038121,0.3333333333333333,0,0,1,0.3333333333333333,0.6666666666666666,4803,0.7169477409952113,0.8779101175623183,4.16,54,26,1,1,0.722,1,34127,1
REP0021,GAR009,USER375,13.589385078644181,0.0685429848214639,0,0,1.0,0.875,8,228538.25,7.375,0.06899573123913177,0.2516930366882444,0.3333333333333333,0,1,0,0.5,0.5,3662,0.9403331512834516,0.8858500924641701,3.86,59,25,1,1,0.831,1,61315,4
REP0022,GAR024,USER386,17.699523913898613,0.05347729731540062,0,0,1.0,0.7142857142857143,14,57257.07142857143,3.7142857142857144,0.13780279689365127,0.31260737825928997,0.3333333333333333,0,0,1,0.2,0.8,2391,1.4401923881221246,0.8975894365115922,4.04,69,18,1,1,0.714,1,17538,1
REP0023,GAR061,USER235,4.892211276417047,0.16971557079129093,1,0,0.3,0.9166666666666666,12,65895.25,4.583333333333333,0.1099339812272304,0.20625126877502464,0.6666666666666666,1,0,1,0.5,0.5,2256,1.5263741134751774,0.8803654389045724,4.39,60,19,0,0,0.599,0,39605,4
REP0024,GAR075,USER346,11.77726114022072,0.07826403397612061,0,0,0.3,0.7,10,51893.3,3.9,0.2648183949410345,0.3193082240245573,0.3333333333333333,1,0,0,0.2,0.8,3683,0.9349714906326364,0.7878081422959029,3.89,15,28,0,1,0.638,0,28078,1
REP0025,GAR012,USER321,15.554312615202731,0.06040721975261269,0,0,1.0,0.7272727272727273,22,109157.5,5.045454545454546,0.07812754044392511,0.20574488077498343,0.6666666666666666,0,1,1,0.6,0.4,3681,0.9354794892692203,0.8582898915453292,4.18,72,30,0,1,0.772,1,19054,3
REP0026,GAR070,USER054,15.963772895994818,0.05894915041194061,0,0,0.8,0.7142857142857143,7,108324.42857142857,4.0,0.06263762312469752,0.30216947925196225,0.6666666666666666,0,1,1,0.0,1.0,4276,0.8053086997193639,0.8862692457722402,4.01,66,30,0,0,0.682,1,77249,7
REP0027,GAR043,USER321,7.39905002984912,0.11906108386616716,0,0,1.0,0.8333333333333334,6,44122.0,1.8333333333333333,0.3012759464811644,0.4293393075979901,1.0,1,1,1,1.0,0.0,2740,1.2567518248175182,0.8801995344196873,4.56,257,24,0,1,0.835,1,66169,4
REP0028,GAR055,USER284,19.179786977086874,0.04955453697977334,0,0,0.8,1.0,5,119149.0,4.8,0.057290738575140235,0.264908564940645,0.3333333333333333,0,0,1,1.0,0.0,4079,0.8442020102966413,0.8842967375409988,3.66,18,26,1,1,0.538,0,410617,8
REP0029,GAR016,USER184,7.287510674126874,0.12066349466335431,0,0,0.3,0.7142857142857143,7,167749.0,5.0,0.053122527291033915,0.2402530733520421,1.0,1,1,1,0.25,0.75,3149,1.0935217529374404,0.8985011053575197,4.22,32,24,0,1,0.731,1,421468,6
REP0030,GAR005,USER063,4.636863111658385,0.17740363393458325,1,0,0.3,0.7142857142857143,14,86636.92857142857,5.0,0.1266465705408723,0.34709207640227174,0.3333333333333333,1,0,0,0.25,0.75,2925,1.1772649572649572,0.830047186681588,3.95,28,30,1,0,0.619,0,101408,5
REP0031,GAR021,USER024,4.359325066207945,0.18659065976521594,1,0,0.3,0.5555555555555556,9,154857.33333333334,5.666666666666667,0.08607816239083198,0.3090169943749474,1.0,1,1,1,1.0,0.0,4201,0.8196857890978339,0.877141996038922,4.08,118,22,1,0,0.594,0,81490,6
REP0032,GAR006,USER046,9.142460403848386,0.09859540586626958,0,0,0.8,0.6363636363636364,11,228740.72727272726,6.090909090909091,0.045374131532594966,0.16424916464235856,0.3333333333333333,0,1,0,0.14285714285714285,0.8571428571428571,4792,0.718593489148581,0.9049145344742964,4.2,15,8,0,0,0.696,0,424052,11
REP0033,GAR024,USER337,7.817021738438084,0.11341698247611988,0,0,0.8,0.7142857142857143,14,57257.07142857143,3.7142857142857144,0.13780279689365127,0.31260737825928997,0.6666666666666666,1,0,1,0.2,0.8,2391,1.4401923881221246,0.8799137460962673,4.04,69,18,1,0,0.695,1,71002,6
REP0034,GAR051,USER002,15.478742516582816,0.06068424207694758,0,0,0.3,0.6,10,149833.4,5.6,0.057506897699036504,0.1944796352188567,0.6666666666666666,0,1,1,0.625,0.375,3874,0.8888745482705214,0.8634469405029437,3.79,15,17,0,1,0.618,1,420278,13
REP0035,GAR089,USER301,3.9908631687689744,0.2003661423253677,1,0,0.8,0.8571428571428571,7,93975.14285714286,3.857142857142857,0.06582383311532364,0.16719847035769644,0.6666666666666666,1,1,0,0.1111111111111111,0.8888888888888888,3819,0.9016758313694685,0.8573903153842789,3.97,30,20,1,1,0.721,0,98004,3
REP0036,GAR048,USER070,13.997541509750096,0.0666775950811596,0,0,0.3,0.7368421052631579,19,105584.63157894737,5.105263157894737,0.0970524648219651,0.24672255782101793,0.6666666666666666,1,1,0,0.625,0.375,4567,0.753996058681848,0.8822044552704986,4.16,190,25,1,1,0.646,1,89819,7
REP0037,GAR048,USER121,16.89484649889456,0.055882010502955375,0,0,0.3,0.7368421052631579,19,105584.63157894737,5.105263157894737,0.0970524648219651,0.24672255782101793,0.6666666666666666,0,1,1,0.625,0.375,4567,0.753996058681848,0.8954753602487082,4.16,190,25,1,1,0.636,0,21315,3
REP0038,GAR013,USER094,1.4504814012112488,0.4080830809430791,1,1,0.3,0.5833333333333334,12,93066.75,4.416666666666667,0.08795491592200202,0.2519992036988993,0.3333333333333333,1,0,0,0.16666666666666666,0.8333333333333334,1500,2.2956666666666665,0.8908825263373747,4.28,26,8,1,0,0.659,0,69512,6
REP0039,GAR100,USER214,2.409804745462503,0.2932719245378259,1,0,0.3,0.5,12,50532.75,2.5,0.2385268799622957,0.3308410429790291,0.6666666666666666,1,0,1,0.625,0.375,4638,0.742453643811988,0.8353776027298424,4.19,56,1,1,0,0.531,0,98415,7
REP0040,GAR004,USER120,9.012290322229017,0.09987724764431041,0,0,1.0,0.5833333333333334,12,39494.583333333336,3.3333333333333335,0.27323611960573707,0.3603278037113696,0.3333333333333333,0,0,1,0.0,1.0,2886,1.1931739431739432,0.8822367737241451,3.65,15,22,1,1,0.662,0,21508,1
REP0041,GAR003,USER025,2.008753923202638,0.33236350513356705,1,0,0.3,1.0,7,194022.7142857143,7.142857142857143,0.056548199849357994,0.17418853152378969,0.6666666666666666,1,1,0,0.8,0.2,2638,1.3053449583017438,0.7787261197303873,3.82,54,28,1,1,0.517,0,30621,2
REP0042,GAR050,USER261,5.998299767596902,0.14289184990762166,0,0,1.0,0.7,10,176583.3,8.5,0.07515839349575335,0.14548268842493628,0.6666666666666666,0,1,1,0.875,0.125,3950,0.8717721518987341,0.8659713789080172,4.03,50,16,1,1,0.705,0,238129,15
REP0043,GAR072,USER260,5.033090571328788,0.16575252570420967,0,0,0.3,0.6666666666666666,12,160168.08333333334,6.5,0.062499310756811526,0.16566625349947076,0.0,0,0,0,0.5,0.5,4029,0.8546785802928767,0.9063435789763535,3.95,15,4,0,0,0.534,0,26332,1
REP0044,GAR076,USER185,18.34395833533749,0.05169572755815974,0,0,0.3,0.7777777777777778,18,55459.27777777778,3.888888888888889,0.1260974927616212,0.23619397033456754,0.3333333333333333,0,0,1,1.0,0.0,1906,1.8066631689401889,0.7969155002592017,4.18,21,9,0,1,0.56,0,18566,1
REP0045,GAR058,USER139,12.570502427189057,0.07368923924264285,0,0,0.3,0.7142857142857143,7,56460.857142857145,5.285714285714286,0.31676395008011377,0.3360161941392271,0.3333333333333333,0,0,1,0.8571428571428571,0.14285714285714285,2112,1.6304450757575757,0.8785204843257588,4.03,39,30,0,1,0.608,1,79449,7
REP0046,GAR050,USER261,8.380496546190171,0.10660416483028753,0,0,0.8,0.7,10,176583.3,8.5,0.07515839349575335,0.14548268842493628,0.6666666666666666,0,1,1,0.875,0.125,3950,0.8717721518987341,0.9022893876170068,4.03,50,16,1,1,0.704,1,80006,6
REP0047,GAR100,USER087,19.702484486759364,0.048303381202365714,0,0,0.3,0.5,12,50532.75,2.5,0.2385268799622957,0.3308410429790291,0.6666666666666666,0,1,1,0.625,0.375,4638,0.742453643811988,0.8610703529230056,4.19,56,1,1,1,0.6,0,33450,1
REP0048,GAR034,USER394,7.975684128297541,0.11141212031373865,0,0,0.8,1.0,4,39039.0,2.5,0.281968268575539,0.36602540378443865,0.3333333333333333,0,1,0,0.6666666666666666,0.3333333333333333,3679,0.9359880402283229,0.7869063620071685,3.89,40,17,0,1,0.465,1,21661,2
REP0049,GAR002,USER269,12.89759440060517,0.07195489889649212,0,0,0.3,0.8823529411764706,34,176045.11764705883,4.647058823529412,0.05706001796082977,0.21503030647393923,0.6666666666666666,1,0,1,0.5,0.5,4518,0.7621735281097831,0.8634065049994254,4.46,179,26,0,1,0.773,1,30050,1
REP0050,GAR038,USER082,10.962427283287203,0.08359507450441162,0,0,0.8,0.7777777777777778,18,117065.11111111111,4.777777777777778,0.07372681576764992,0.2440487030777376,0.6666666666666666,0,1,1,0.8,0.2,3264,1.0549938725490196,0.8545268479800479,3.96,57,28,1,1,0.533,0,252176,8
REP0051,GAR047,USER322,17.536231877849637,0.053948397203369934,0,0,0.8,0.5833333333333334,12,50628.25,4.25,0.1701932961121203,0.24343292207814549,0.0,0,0,0,0.6,0.4,2328,1.4791666666666667,0.8479656477190596,4.0,37,11,1,0,0.455,0,19945,2
REP0052,GAR038,USER121,16.90218981293432,0.05585908821486747,0,0,0.8,0.7777777777777778,18,117065.11111111111,4.777777777777778,0.07372681576764992,0.2440487030777376,0.3333333333333333,0,1,0,0.8,0.2,3264,1.0549938725490196,0.8186602285243822,3.96,57,28,1,1,0.618,1,106180,7
REP0053,GAR024,USER172,6.834219435343658,0.12764513532625266,0,0,1.0,0.7142857142857143,14,57257.07142857143,3.7142857142857144,0.13780279689365127,0.31260737825928997,0.3333333333333333,0,0,1,0.2,0.8,2391,1.4401923881221246,0.8857695385436116,4.04,69,18,1,1,0.729,1,16709,3
REP0054,GAR002,USER366,7.774526419267894,0.11396626464125861,0,0,1.0,0.8823529411764706,34,176045.11764705883,4.647058823529412,0.05706001796082977,0.21503030647393923,0.6666666666666666,0,1,1,0.5,0.5,4518,0.7621735281097831,0.8506315649514692,4.46,179,26,0,1,0.769,1,31988,2
REP0055,GAR038,USER294,13.181583688911632,0.07051398644439726,0,0,0.8,0.7777777777777778,18,117065.11111111111,4.777777777777778,0.07372681576764992,0.2440487030777376,0.0,0,0,0,0.8,0.2,3264,1.0549938725490196,0.8471141210957243,3.96,57,28,1,1,0.673,1,22811,1
REP0056,GAR049,USER173,10.206231442448559,0.08923606523171186,0,0,0.3,0.7142857142857143,7,70500.42857142857,4.0,0.12646371960100128,0.3164309725825327,0.3333333333333333,0,0,1,0.16666666666666666,0.8333333333333334,2217,1.5532250789354984,0.8394193780674992,4.02,42,11,0,1,0.678,1,44297,4
REP0057,GAR022,USER289,5.489072245677802,0.15410523448341532,0,0,1.0,0.7,10,152416.5,5.5,0.07607202268780698,0.23211340627842247,1.0,1,1,1,0.3333333333333333,0.6666666666666666,4860,0.7085390946502058,0.8397333291892648,3.76,15,20,0,1,0.614,0,108072,4
REP0058,GAR008,USER076,14.413912629811216,0.06487645440950236,0,0,0.8,0.8,15,139390.53333333333,6.2,0.07515076110408979,0.19185656741240167,1.0,1,1,1,0.8,0.2,2761,1.2471930459978269,0.8792379608396542,3.98,25,5,0,0,0.631,1,99688,4
REP0059,GAR066,USER246,19.34817756002303,0.04914445026097307,0,0,1.0,0.6666666666666666,9,69837.11111111111,3.4444444444444446,0.22839393853855516,0.3325648391995759,0.6666666666666666,0,1,1,0.6,0.4,2840,1.2125,0.8402091132051117,3.93,15,10,1,1,0.616,0,89849,4
REP0060,GAR029,USER147,9.962352794080841,0.09122129334680355,0,0,0.3,0.6,10,98671.5,3.6,0.08880008868471166,0.1924840598000365,0.6666666666666666,1,0,1,0.25,0.75,4266,0.8071964369432724,0.8395205969924245,3.88,22,10,0,0,0.535,0,30791,1
REP0061,GAR028,USER022,17.622420316338726,0.053698712788832904,0,0,0.8,0.6666666666666666,9,231361.88888888888,5.0,0.04718685338344697,0.2449655295864104,0.0,0,0,0,1.0,0.0,5378,0.64029378951283,0.8355996303515544,4.16,179,26,0,1,0.774,1,107601,5
REP0062,GAR004,USER247,13.960990511368847,0.06684049423332637,0,0,0.8,0.5833333333333334,12,39494.583333333336,3.3333333333333335,0.27323611960573707,0.3603278037113696,0.0,0,0,0,0.0,1.0,2886,1.1931739431739432,0.8586698861879591,3.65,15,22,1,0,0.41,0,58320,4
REP0063,GAR054,USER109,9.572185573357533,0.09458782132240025,0,0,1.0,0.6428571428571429,14,105358.71428571429,5.428571428571429,0.07926258191729263,0.228959243948309,0.3333333333333333,1,0,0,0.0,1.0,2339,1.4722103463018383,0.8348379816217959,4.1,73,19,1,1,0.654,1,14455,2
REP0064,GAR041,USER304,16.376572743288964,0.057548747660047736,0,0,1.0,0.7692307692307693,13,108443.92307692308,5.461538461538462,0.09462280967985631,0.23638069205339082,0.3333333333333333,1,0,0,1.0,0.0,3752,0.9177771855010661,0.808337506259389,3.86,15,14,1,0,0.61,1,295089,13
REP0065,GAR016,USER184,13.251539977251943,0.07016785565603313,0,0,0.3,0.7142857142857143,7,167749.0,5.0,0.053122527291033915,0.2402530733520421,0.6666666666666666,0,1,1,0.25,0.75,3149,1.0935217529374404,0.8232141341385039,4.22,32,24,0,0,0.66,1,97046,7
REP0066,GAR053,USER068,9.856789144911989,0.09210826393074492,0,0,1.0,0.8,5,133232.8,5.6,0.06523298394541374,0.2184498952542088,0.3333333333333333,0,0,1,0.0,1.0,2822,1.2202338766832035,0.8712579748077867,4.35,58,10,1,1,0.768,1,10652,3
REP0067,GAR061,USER344,13.609548729099105,0.0684483838989642,0,0,0.3,0.9166666666666666,12,65895.25,4.583333333333333,0.1099339812272304,0.20625126877502464,0.3333333333333333,0,0,1,0.5,0.5,2256,1.5263741134751774,0.8974492334132332,4.39,60,19,0,1,0.527,0,79374,6
REP0068,GAR091,USER044,11.090574625006182,0.08270905486425453,0,0,1.0,0.8888888888888888,9,190512.33333333334,5.0,0.05674736032349002,0.21712927295533244,0.6666666666666666,1,0,1,1.0,0.0,5118,0.672821414615084,0.8353786435856017,4.06,34,3,1,0,0.698,1,381139,5
REP0069,GAR043,USER265,19.15586982067517,0.04961333888821983,0,0,0.8,0.8333333333333334,6,44122.0,1.8333333333333333,0.3012759464811644,0.4293393075979901,1.0,1,1,1,1.0,0.0,2740,1.2567518248175182,0.8613633401398966,4.56,257,24,0,0,0.63,1,26208,1
REP0070,GAR061,USER272,17.059186179661115,0.05537348084523515,0,0,0.3,0.9166666666666666,12,65895.25,4.583333333333333,0.1099339812272304,0.20625126877502464,0.3333333333333333,0,0,1,0.5,0.5,2256,1.5263741134751774,0.850379754010089,4.39,60,19,0,1,0.669,0,81131,7
REP0071,GAR096,USER229,14.186685080591687,0.06584715457608206,0,0,1.0,0.9166666666666666,24,83568.16666666667,4.333333333333333,0.09942249716506818,0.2692979353148111,0.6666666666666666,0,1,1,0.6,0.4,3663,0.9400764400764401,0.7689074024534719,4.31,15,2,1,1,0.684,0,32214,2
REP0072,GAR058,USER167,17.66955314771066,0.053563145946137675,0,0,0.3,0.7142857142857143,7,56460.857142857145,5.285714285714286,0.31676395008011377,0.3360161941392271,0.3333333333333333,0,0,1,0.8571428571428571,0.14285714285714285,2112,1.6304450757575757,0.872064871802351,4.03,39,30,0,1,0.694,0,38669,6
REP0073,GAR067,USER361,17.155813867035988,0.055078775720190515,0,0,0.8,0.42857142857142855,7,106892.0,4.285714285714286,0.07709803497440451,0.30407257711001867,0.3333333333333333,0,1,0,0.5,0.5,3443,1.0001452221899507,0.8746398307660511,3.94,15,30,1,0,0.594,0,370257,7
REP0074,GAR091,USER127,11.26064532295977,0.08156177539263455,0,0,0.8,0.8888888888888888,9,190512.33333333334,5.0,0.05674736032349002,0.21712927295533244,0.3333333333333333,0,0,1,1.0,0.0,5118,0.672821414615084,0.8645539578388943,4.06,34,3,1,1,0.705,1,30964,1
REP0075,GAR079,USER018,16.400434256118114,0.05746983007900467,0,0,0.8,0.4444444444444444,9,116845.11111111111,6.888888888888889,0.0787944171839091,0.18233065198384377,0.0,0,0,0,0.8,0.2,2190,1.5723744292237443,0.8686591377051226,3.85,17,3,0,0,0.415,0,13922,3
REP0076,GAR048,USER121,1.7680470560346366,0.36126553478196616,1,1,0.3,0.7368421052631579,19,105584.63157894737,5.105263157894737,0.0970524648219651,0.24672255782101793,1.0,1,1,1,0.625,0.375,4567,0.753996058681848,0.776164494159624,4.16,190,25,1,1,0.666,0,93982,5
REP0077,GAR008,USER021,13.034475534284184,0.07125310793104775,0,0,0.8,0.8,15,139390.53333333333,6.2,0.07515076110408979,0.19185656741240167,0.6666666666666666,0,1,1,0.8,0.2,2761,1.2471930459978269,0.8591219313435876,3.98,25,5,0,1,0.635,1,33600,1
REP0078,GAR003,USER284,1.6071066178320708,0.3835669754202634,1,1,0.3,1.0,7,194022.7142857143,7.142857142857143,0.056548199849357994,0.17418853152378969,0.6666666666666666,1,0,1,0.8,0.2,2638,1.3053449583017438,0.8370282765294055,3.82,54,28,1,1,0.618,1,428186,13
REP0079,GAR100,USER326,15.210190724494286,0.06168958878990594,0,0,0.3,0.5,12,50532.75,2.5,0.2385268799622957,0.3308410429790291,0.3333333333333333,0,0,1,0.625,0.375,4638,0.742453643811988,0.869587605785161,4.19,56,1,1,1,0.66,1,38841,2
REP0080,GAR020,USER058,18.7948327408154,0.05051823438437436,0,0,1.0,0.75,20,56817.35,4.6,0.16339256973788002,0.21516305588453097,0.3333333333333333,0,0,1,0.0,1.0,2286,1.5063429571303586,0.8235332656337013,4.05,48,28,1,1,0.708,1,71828,6
REP0081,GAR059,USER196,11.78263009396239,0.07823116155667599,0,0,1.0,0.7142857142857143,7,94115.71428571429,5.142857142857143,0.0864541223592336,0.1887364380685942,0.0,0,0,0,0.3333333333333333,0.6666666666666666,3655,0.9421340629274966,0.8590035695298853,3.86,15,6,1,1,0.729,0,22621,3
REP0082,GAR054,USER387,1.4323262042425386,0.4111290657707708,1,1,0.8,0.6428571428571429,14,105358.71428571429,5.428571428571429,0.07926258191729263,0.228959243948309,1.0,1,1,1,0.0,1.0,2339,1.4722103463018383,0.8084012653607495,4.1,73,19,1,0,0.48,0,39175,7
REP0083,GAR018,USER398,16.424270160770998,0.05739121299045282,0,0,0.8,0.75,12,82725.33333333333,3.25,0.08610241355934557,0.3761785115301142,0.3333333333333333,0,0,1,0.8571428571428571,0.14285714285714285,2235,1.5407158836689039,0.9086239748156739,3.85,21,13,0,0,0.613,0,10968,2
REP0084,GAR004,USER302,8.228752079736593,0.10835701201635727,0,0,1.0,0.5833333333333334,12,39494.583333333336,3.3333333333333335,0.27323611960573707,0.3603278037113696,0.3333333333333333,1,0,0,0.0,1.0,2886,1.1931739431739432,0.8080193236714976,3.65,15,22,1,1,0.644,1,37011,3
REP0085,GAR051,USER273,13.583217942478191,0.06857197114823244,0,0,0.3,0.6,10,149833.4,5.6,0.057506897699036504,0.1944796352188567,0.3333333333333333,0,1,0,0.625,0.375,3874,0.8888745482705214,0.8871219775327077,3.79,15,17,0,1,0.555,0,414435,7
REP0086,GAR056,USER256,16.953569881106862,0.05569922899023738,0,0,0.6,0.75,8,99433.875,4.5,0.06732640352330627,0.28062457551093234,0.6666666666666666,0,1,1,1.0,0.0,3538,0.9732899943470887,0.8794171329403668,3.91,27,14,1,0,0.477,0,29391,3
REP0087,GAR011,USER300,14.341071962338347,0.06518449313417965,0,0,1.0,0.7142857142857143,7,128331.42857142857,4.571428571428571,0.05936411536076759,0.25783218979627226,0.6666666666666666,1,0,1,0.8,0.2,2947,1.168476416694944,0.8516101792499904,3.92,41,29,1,0,0.643,1,29919,3
REP0088,GAR078,USER377,14.004817481034996,0.06664526251411773,0,0,0.8,0.6363636363636364,11,110893.54545454546,4.2727272727272725,0.07294733461874474,0.3005079644223275,0.0,0,0,0,1.0,0.0,3444,0.9998548199767712,0.771515197167715,3.93,26,24,1,0,0.557,0,65235,5
REP0089,GAR043,USER064,19.642949484253407,0.048442689876405855,0,0,0.8,0.8333333333333334,6,44122.0,1.8333333333333333,0.3012759464811644,0.4293393075979901,0.6666666666666666,0,1,1,1.0,0.0,2740,1.2567518248175182,0.8916886503532551,4.56,257,24,0,1,0.737,1,29407,1
REP0090,GAR054,USER359,9.262960526292979,0.09743777123940707,0,0,1.0,0.6428571428571429,14,105358.71428571429,5.428571428571429,0.07926258191729263,0.228959243948309,0.3333333333333333,0,0,1,0.0,1.0,2339,1.4722103463018383,0.8660044832650537,4.1,73,19,1,0,0.645,1,22407,1
REP0091,GAR075,USER177,19.283646773195883,0.04930079936717614,0,0,0.3,0.7,10,51893.3,3.9,0.2648183949410345,0.3193082240245573,0.3333333333333333,0,1,0,0.2,0.8,3683,0.9349714906326364,0.8495661605206074,3.89,15,28,0,1,0.589,0,23499,3
REP0092,GAR054,USER387,4.669794967818882,0.17637322084412,1,0,1.0,0.6428571428571429,14,105358.71428571429,5.428571428571429,0.07926258191729263,0.228959243948309,1.0,1,1,1,0.0,1.0,2339,1.4722103463018383,0.8688462628744212,4.1,73,19,1,1,0.774,1,35913,4
