record_id,garage_id,date,day_of_week,total_bays,occupied_bays,available_bays,utilization_rate,pending_jobs_queue,avg_job_duration_days,estimated_next_available_slot_days,current_workload_level
CAP00120,GAR001,2025-03-19,Wednesday,2,0,2,0.0,0,3.71,0.0,low
CAP00121,GAR001,2025-03-20,Thursday,2,1,1,0.5,0,4.33,0.0,moderate
CAP00122,GAR001,2025-03-21,Friday,2,1,1,0.5,0,3.87,0.0,moderate
CAP00123,GAR001,2025-03-22,Saturday,2,0,2,0.0,0,3.9,0.0,low
CAP00124,GAR001,2025-03-23,Sunday,2,2,0,1.0,11,4.72,10.0,very_high
CAP00125,GAR001,2025-03-24,Monday,2,1,1,0.5,0,3.8,0.0,moderate
CAP00126,GAR001,2025-03-25,Tuesday,2,2,0,1.0,6,4.39,10.0,very_high
CAP00127,GAR001,2025-03-26,Wednesday,2,2,0,1.0,8,3.8,10.0,very_high
CAP00128,GAR001,2025-03-27,Thursday,2,2,0,1.0,7,3.62,7.81,very_high
CAP00129,GAR001,2025-03-28,Friday,2,1,1,0.5,0,3.61,0.0,moderate
CAP00130,GAR001,2025-03-29,Saturday,2,1,1,0.5,0,3.17,0.0,moderate
CAP00131,GAR001,2025-03-30,Sunday,2,1,1,0.5,0,3.64,0.0,moderate
CAP00132,GAR001,2025-03-31,Monday,2,2,0,1.0,5,4.19,8.12,very_high
CAP00133,GAR001,2025-04-01,Tuesday,2,1,1,0.5,0,3.28,0.0,moderate
CAP00134,GAR001,2025-04-02,Wednesday,2,1,1,0.5,0,3.36,0.0,moderate
CAP00135,GAR001,2025-04-03,Thursday,2,0,2,0.0,0,3.17,0.0,low
CAP00136,GAR001,2025-04-04,Friday,2,1,1,0.5,0,3.91,0.0,moderate
CAP00137,GAR001,2025-04-05,Saturday,2,1,1,0.5,0,3.88,0.0,moderate
CAP00138,GAR001,2025-04-06,Sunday,2,0,2,0.0,0,3.77,0.0,low
CAP00139,GAR001,2025-04-07,Monday,2,2,0,1.0,13,3.06,10.0,very_high
CAP00140,GAR001,2025-04-08,Tuesday,2,2,0,1.0,4,3.68,4.92,very_high
CAP00141,GAR001,2025-04-09,Wednesday,2,1,1,0.5,0,3.7,0.0,moderate
CAP00142,GAR001,2025-04-10,Thursday,2,0,2,0.0,0,3.33,0.0,low
CAP00143,GAR001,2025-04-11,Friday,2,2,0,1.0,7,3.51,7.12,very_high
CAP00144,GAR001,2025-04-12,Saturday,2,2,0,1.0,6,3.99,7.59,very_high
CAP00145,GAR001,2025-04-13,Sunday,2,0,2,0.0,0,3.75,0.0,low
CAP00146,GAR001,2025-04-14,Monday,2,1,1,0.5,0,3.37,0.0,moderate
CAP00147,GAR001,2025-04-15,Tuesday,2,1,1,0.5,0,4.08,0.0,moderate
CAP00148,GAR001,2025-04-16,Wednesday,2,0,2,0.0,0,3.75,0.0,low
CAP00149,GAR001,2025-04-17,Thursday,2,2,0,1.0,7,4.37,9.72,very_high
CAP00150,GAR001,2025-04-18,Friday,2,1,1,0.5,0,4.11,0.0,moderate
CAP00151,GAR001,2025-04-19,Saturday,2,2,0,1.0,8,3.84,8.19,very_high
CAP00152,GAR001,2025-04-20,Sunday,2,1,1,0.5,0,3.62,0.0,moderate
CAP00153,GAR001,2025-04-21,Monday,2,1,1,0.5,0,4.55,0.0,moderate
CAP00154,GAR001,2025-04-22,Tuesday,2,1,1,0.5,0,2.79,0.0,moderate
CAP00155,GAR001,2025-04-23,Wednesday,2,1,1,0.5,0,4.08,0.0,moderate
CAP00156,GAR001,2025-04-24,Thursday,2,2,0,1.0,9,4.8,10.0,very_high
CAP00157,GAR001,2025-04-25,Friday,2,1,1,0.5,0,3.62,0.0,moderate
CAP00158,GAR001,2025-04-26,Saturday,2,1,1,0.5,0,3.25,0.0,moderate
CAP00159,GAR001,2025-04-27,Sunday,2,1,1,0.5,0,3.26,0.0,moderate
CAP00160,GAR001,2025-04-28,Monday,2,1,1,0.5,0,3.67,0.0,moderate
CAP00161,GAR001,2025-04-29,Tuesday,2,1,1,0.5,0,3.97,0.0,moderate
CAP00162,GAR001,2025-04-30,Wednesday,2,1,1,0.5,0,3.82,0.0,moderate
CAP00163,GAR001,2025-05-01,Thursday,2,1,1,0.5,0,3.58,0.0,moderate
CAP00164,GAR001,2025-05-02,Friday,2,0,2,0.0,0,4.11,0.0,low
CAP00165,GAR001,2025-05-03,Saturday,2,0,2,0.0,0,3.33,0.0,low
CAP00166,GAR001,2025-05-04,Sunday,2,1,1,0.5,0,3.68,0.0,moderate
CAP00167,GAR001,2025-05-05,Monday,2,2,0,1.0,7,3.37,9.03,very_high
CAP00168,GAR001,2025-05-06,Tuesday,2,2,0,1.0,14,4.13,10.0,very_high
CAP00169,GAR001,2025-05-07,Wednesday,2,1,1,0.5,0,4.45,0.0,moderate
CAP00170,GAR001,2025-05-08,Thursday,2,2,0,1.0,7,4.17,8.08,very_high
CAP00171,GAR001,2025-05-09,Friday,2,0,2,0.0,0,3.81,0.0,low
CAP00172,GAR001,2025-05-10,Saturday,2,0,2,0.0,0,3.25,0.0,low
CAP00173,GAR001,2025-05-11,Sunday,2,0,2,0.0,0,3.14,0.0,low
CAP00174,GAR001,2025-05-12,Monday,2,1,1,0.5,0,3.94,0.0,moderate
CAP00175,GAR001,2025-05-13,Tuesday,2,2,0,1.0,15,4.03,10.0,very_high
CAP00176,GAR001,2025-05-14,Wednesday,2,1,1,0.5,0,3.82,0.0,moderate
CAP00177,GAR001,2025-05-15,Thursday,2,1,1,0.5,0,3.02,0.0,moderate
CAP00178,GAR001,2025-05-16,Friday,2,0,2,0.0,0,4.05,0.0,low
CAP00179,GAR001,2025-05-17,Saturday,2,1,1,0.5,0,3.73,0.0,moderate
CAP00180,GAR001,2025-05-18,Sunday,2,2,0,1.0,10,3.97,10.0,very_high
CAP00181,GAR001,2025-05-19,Monday,2,2,0,1.0,10,3.87,10.0,very_high
CAP00182,GAR001,2025-05-20,Tuesday,2,2,0,1.0,10,3.56,9.91,very_high
CAP00183,GAR001,2025-05-21,Wednesday,2,2,0,1.0,5,4.18,7.09,very_high
CAP00184,GAR001,2025-05-22,Thursday,2,1,1,0.5,0,3.54,0.0,moderate
CAP00185,GAR001,2025-05-23,Friday,2,2,0,1.0,12,3.84,10.0,very_high
CAP00186,GAR001,2025-05-24,Saturday,2,2,0,1.0,10,3.89,10.0,very_high
CAP00187,GAR001,2025-05-25,Sunday,2,0,2,0.0,0,3.51,0.0,low
CAP00188,GAR001,2025-05-26,Monday,2,2,0,1.0,9,3.86,8.89,very_high
CAP00189,GAR001,2025-05-27,Tuesday,2,2,0,1.0,11,4.3,10.0,very_high
CAP00190,GAR001,2025-05-28,Wednesday,2,2,0,1.0,11,4.55,10.0,very_high
CAP00191,GAR001,2025-05-29,Thursday,2,2,0,1.0,7,4.01,10.0,very_high
CAP00192,GAR001,2025-05-30,Friday,2,2,0,1.0,12,4.24,10.0,very_high
CAP00193,GAR001,2025-05-31,Saturday,2,0,2,0.0,0,3.65,0.0,low
CAP00194,GAR001,2025-06-01,Sunday,2,1,1,0.5,0,4.07,0.0,moderate
CAP00195,GAR001,2025-06-02,Monday,2,2,0,1.0,8,4.25,10.0,very_high
CAP00196,GAR001,2025-06-03,Tuesday,2,0,2,0.0,0,3.41,0.0,low
CAP00197,GAR001,2025-06-04,Wednesday,2,1,1,0.5,0,3.94,0.0,moderate
CAP00198,GAR001,2025-06-05,Thursday,2,0,2,0.0,0,3.78,0.0,low
CAP00199,GAR001,2025-06-06,Friday,2,0,2,0.0,0,3.33,0.0,low
CAP00200,GAR001,2025-06-07,Saturday,2,1,1,0.5,0,4.57,0.0,moderate
CAP00201,GAR001,2025-06-08,Sunday,2,0,2,0.0,0,3.93,0.0,low
CAP00202,GAR001,2025-06-09,Monday,2,1,1,0.5,0,3.58,0.0,moderate
CAP00203,GAR001,2025-06-10,Tuesday,2,2,0,1.0,7,3.89,8.32,very_high
CAP00204,GAR001,2025-06-11,Wednesday,2,0,2,0.0,0,3.25,0.0,low
CAP00205,GAR001,2025-06-12,Thursday,2,1,1,0.5,0,3.59,0.0,moderate
CAP00206,GAR001,2025-06-13,Friday,2,2,0,1.0,13,3.86,10.0,very_high
CAP00207,GAR001,2025-06-14,Saturday,2,1,1,0.5,0,3.67,0.0,moderate
CAP00208,GAR001,2025-06-15,Sunday,2,1,1,0.5,0,3.93,0.0,moderate
CAP00209,GAR001,2025-06-16,Monday,2,1,1,0.5,0,3.95,0.0,moderate
CAP00210,GAR001,2025-06-17,Tuesday,2,1,1,0.5,0,3.74,0.0,moderate
CAP00211,GAR001,2025-06-18,Wednesday,2,2,0,1.0,7,3.61,9.18,very_high
CAP00212,GAR001,2025-06-19,Thursday,2,1,1,0.5,0,4.33,0.0,moderate
CAP00213,GAR001,2025-06-20,Friday,2,2,0,1.0,12,3.86,10.0,very_high
CAP00214,GAR001,2025-06-21,Saturday,2,1,1,0.5,0,4.26,0.0,moderate
CAP00215,GAR001,2025-06-22,Sunday,2,1,1,0.5,0,4.09,0.0,moderate
CAP00216,GAR001,2025-06-23,Monday,2,2,0,1.0,11,4.13,10.0,very_high
CAP00217,GAR001,2025-06-24,Tuesday,2,2,0,1.0,4,3.73,7.16,very_high
CAP00218,GAR001,2025-06-25,Wednesday,2,2,0,1.0,9,3.52,10.0,very_high
CAP00219,GAR001,2025-06-26,Thursday,2,2,0,1.0,13,4.53,10.0,very_high
CAP00220,GAR001,2025-06-27,Friday,2,2,0,1.0,15,3.65,10.0,very_high
CAP00221,GAR001,2025-06-28,Saturday,2,1,1,0.5,0,3.63,0.0,moderate
CAP00222,GAR001,2025-06-29,Sunday,2,2,0,1.0,7,3.99,10.0,very_high
CAP00223,GAR001,2025-06-30,Monday,2,2,0,1.0,7,3.74,9.34,very_high
CAP00224,GAR001,2025-07-01,Tuesday,2,2,0,1.0,15,3.35,10.0,very_high
CAP00225,GAR001,2025-07-02,Wednesday,2,1,1,0.5,0,3.68,0.0,moderate
CAP00226,GAR001,2025-07-03,Thursday,2,2,0,1.0,5,3.82,6.3,very_high
CAP00227,GAR001,2025-07-04,Friday,2,1,1,0.5,0,3.86,0.0,moderate
CAP00228,GAR001,2025-07-05,Saturday,2,1,1,0.5,0,3.72,0.0,moderate
CAP00229,GAR001,2025-07-06,Sunday,2,0,2,0.0,0,3.72,0.0,low
CAP00230,GAR001,2025-07-07,Monday,2,2,0,1.0,9,3.75,10.0,very_high
CAP00231,GAR001,2025-07-08,Tuesday,2,2,0,1.0,6,4.73,7.3,very_high
CAP00232,GAR001,2025-07-09,Wednesday,2,2,0,1.0,7,3.81,9.34,very_high
CAP00233,GAR001,2025-07-10,Thursday,2,2,0,1.0,13,4.64,10.0,very_high
CAP00234,GAR001,2025-07-11,Friday,2,1,1,0.5,0,4.0,0.0,moderate
CAP00235,GAR001,2025-07-12,Saturday,2,1,1,0.5,0,3.57,0.0,moderate
CAP00236,GAR001,2025-07-13,Sunday,2,0,2,0.0,0,3.08,0.0,low
CAP00237,GAR001,2025-07-14,Monday,2,2,0,1.0,8,3.83,9.36,very_high
CAP00238,GAR001,2025-07-15,Tuesday,2,2,0,1.0,7,3.59,7.87,very_high
CAP00239,GAR001,2025-07-16,Wednesday,2,2,0,1.0,5,3.97,5.62,very_high
CAP00240,GAR001,2025-07-17,Thursday,2,1,1,0.5,0,3.68,0.0,moderate
CAP00241,GAR001,2025-07-18,Friday,2,1,1,0.5,0,3.21,0.0,moderate
CAP00242,GAR001,2025-07-19,Saturday,2,2,0,1.0,8,3.59,8.49,very_high
CAP00243,GAR001,2025-07-20,Sunday,2,1,1,0.5,0,3.5,0.0,moderate
CAP00244,GAR001,2025-07-21,Monday,2,1,1,0.5,0,3.56,0.0,moderate
CAP00245,GAR001,2025-07-22,Tuesday,2,1,1,0.5,0,3.48,0.0,moderate
CAP00246,GAR001,2025-07-23,Wednesday,2,2,0,1.0,6,3.88,8.17,very_high
CAP00247,GAR001,2025-07-24,Thursday,2,2,0,1.0,9,3.85,9.9,very_high
CAP00248,GAR001,2025-07-25,Friday,2,2,0,1.0,14,3.58,10.0,very_high
CAP00249,GAR001,2025-07-26,Saturday,2,1,1,0.5,0,3.98,0.0,moderate
CAP00250,GAR001,2025-07-27,Sunday,2,0,2,0.0,0,3.55,0.0,low
CAP00251,GAR001,2025-07-28,Monday,2,2,0,1.0,7,3.59,9.61,very_high
CAP00252,GAR001,2025-07-29,Tuesday,2,1,1,0.5,0,3.48,0.0,moderate
CAP00253,GAR001,2025-07-30,Wednesday,2,2,0,1.0,14,4.09,10.0,very_high
CAP00254,GAR001,2025-07-31,Thursday,2,2,0,1.0,14,3.97,10.0,very_high
CAP00255,GAR001,2025-08-01,Friday,2,2,0,1.0,4,3.72,6.17,very_high
CAP00256,GAR001,2025-08-02,Saturday,2,2,0,1.0,10,3.85,10.0,very_high
CAP00257,GAR001,2025-08-03,Sunday,2,1,1,0.5,0,4.04,0.0,moderate
CAP00258,GAR001,2025-08-04,Monday,2,2,0,1.0,7,3.33,9.11,very_high
CAP00259,GAR001,2025-08-05,Tuesday,2,2,0,1.0,13,4.13,10.0,very_high
CAP00260,GAR001,2025-08-06,Wednesday,2,2,0,1.0,7,4.64,10.0,very_high
CAP00261,GAR001,2025-08-07,Thursday,2,1,1,0.5,0,3.89,0.0,moderate
CAP00262,GAR001,2025-08-08,Friday,2,0,2,0.0,0,4.02,0.0,low
CAP00263,GAR001,2025-08-09,Saturday,2,1,1,0.5,0,3.58,0.0,moderate
CAP00264,GAR001,2025-08-10,Sunday,2,1,1,0.5,0,3.63,0.0,moderate
CAP00265,GAR001,2025-08-11,Monday,2,2,0,1.0,5,4.16,7.19,very_high
CAP00266,GAR001,2025-08-12,Tuesday,2,2,0,1.0,8,3.49,7.69,very_high
CAP00267,GAR001,2025-08-13,Wednesday,2,2,0,1.0,7,3.67,8.89,very_high
CAP00268,GAR001,2025-08-14,Thursday,2,1,1,0.5,0,3.21,0.0,moderate
CAP00269,GAR001,2025-08-15,Friday,2,1,1,0.5,0,3.0,0.0,moderate
CAP00270,GAR001,2025-08-16,Saturday,2,1,1,0.5,0,3.61,0.0,moderate
CAP00271,GAR001,2025-08-17,Sunday,2,1,1,0.5,0,4.79,0.0,moderate
CAP00272,GAR001,2025-08-18,Monday,2,1,1,0.5,0,4.05,0.0,moderate
CAP00273,GAR001,2025-08-19,Tuesday,2,1,1,0.5,0,3.3,0.0,moderate
CAP00274,GAR001,2025-08-20,Wednesday,2,1,1,0.5,0,3.28,0.0,moderate
CAP00275,GAR001,2025-08-21,Thursday,2,2,0,1.0,9,3.87,9.63,very_high
CAP00276,GAR001,2025-08-22,Friday,2,1,1,0.5,0,3.6,0.0,moderate
CAP00277,GAR001,2025-08-23,Saturday,2,1,1,0.5,0,3.54,0.0,moderate
CAP00278,GAR001,2025-08-24,Sunday,2,1,1,0.5,0,4.62,0.0,moderate
CAP00279,GAR001,2025-08-25,Monday,2,2,0,1.0,6,3.81,9.09,very_high
CAP00280,GAR001,2025-08-26,Tuesday,2,1,1,0.5,0,3.45,0.0,moderate
CAP00281,GAR001,2025-08-27,Wednesday,2,2,0,1.0,12,3.23,10.0,very_high
CAP00282,GAR001,2025-08-28,Thursday,2,2,0,1.0,4,4.29,8.03,very_high
CAP00283,GAR001,2025-08-29,Friday,2,1,1,0.5,0,3.35,0.0,moderate
CAP00284,GAR001,2025-08-30,Saturday,2,1,1,0.5,0,3.25,0.0,moderate
CAP00285,GAR001,2025-08-31,Sunday,2,1,1,0.5,0,4.11,0.0,moderate
CAP00286,GAR001,2025-09-01,Monday,2,2,0,1.0,13,3.96,10.0,very_high
CAP00287,GAR001,2025-09-02,Tuesday,2,2,0,1.0,7,3.96,7.25,very_high
CAP00288,GAR001,2025-09-03,Wednesday,2,2,0,1.0,13,3.45,10.0,very_high
CAP00289,GAR001,2025-09-04,Thursday,2,0,2,0.0,0,3.36,0.0,low
CAP00290,GAR001,2025-09-05,Friday,2,1,1,0.5,0,3.86,0.0,moderate
CAP00291,GAR001,2025-09-06,Saturday,2,0,2,0.0,0,3.69,0.0,low
CAP00292,GAR001,2025-09-07,Sunday,2,1,1,0.5,0,4.3,0.0,moderate
CAP00293,GAR001,2025-09-08,Monday,2,0,2,0.0,0,3.52,0.0,low
CAP00294,GAR001,2025-09-09,Tuesday,2,2,0,1.0,7,3.97,10.0,very_high
CAP00295,GAR001,2025-09-10,Wednesday,2,1,1,0.5,0,3.54,0.0,moderate
CAP00296,GAR001,2025-09-11,Thursday,2,2,0,1.0,11,4.12,10.0,very_high
